question,context
What is your name and date of birth?,My name is John and My date of birth is 01/01/1990
What is your name and date of birth?,My name is John and I was born on January 1' 1990
What is your name and date of birth?,My name is John and The date of my birth is the 1st of January'1990
What is your name and date of birth?,My name is John and I celebrate my birthday on January 1'1990
What is your name and date of birth?,My name is John and It was on 01/01/1990 that I came into this world
What is my current address?,My current address is 123 Main Street' City' State' Country
What is my current address?,I live at 123 Main Street' City' State' Country
What is my current address?,You can find me at 123 Main Street' City' State' Country
What is my current address?,The address where I currently reside is 123 Main Street' City' State' Country
What is my current address?,Currently' I reside at 123 Main Street' City' State' Country
Are you married? If so what is your spouse’s full name and date of birth?,Yes I am married My spouse's name is John Doe and their date of birth is 02/02/1985
Are you married? If so what is your spouse’s full name and date of birth?,I'm happily married to John Doe who was born on February 2 1985
Are you married? If so what is your spouse’s full name and date of birth?,My spouse John Doe was born on the 2nd of February 1985
Are you married? If so what is your spouse’s full name and date of birth?,Yes I am married to John Doe whose date of birth is 02/02/1985
Are you married? If so what is your spouse’s full name and date of birth?,John Doe my spouse was born on February 2 1985
Do you have children? If so what are their names and dates of birth?,Yes I have two children Their names are Emily Doe and Michael Doe Their dates of birth are 03/03/2010 and 04/04/2015 respectively
Do you have children? If so what are their names and dates of birth?,My children Emily Doe and Michael Doe were born on March 3 2010 and April 4 2015 respectively
Do you have children? If so what are their names and dates of birth?,I am the proud parent of Emily Doe and Michael Doe born on the 3rd of March 2010 and the 4th of April 2015 respectively
Do you have children? If so what are their names and dates of birth?,Yes I have two children Emily Doe and Michael Doe They were born on 03/03/2010 and 04/04/2015
Do you have children? If so what are their names and dates of birth?,Emily Doe and Michael Doe are my children They were born on March 3 2010 and April 4 2015 respectively
Do you have any other dependents or individuals you support financially?,Yes I support my parents financially
Do you have any other dependents or individuals you support financially?,My financial support extends to my parents
Do you have any other dependents or individuals you support financially?,Supporting my parents financially is important to me
Do you have any other dependents or individuals you support financially?,I provide financial assistance to my parents
Do you have any other dependents or individuals you support financially?,Financially I am responsible for supporting my parents
Who do you want to serve as the executor of your will?,I want my lawyer Oiliver to serve as the executor of my will
Who do you want to serve as the executor of your will?,David my lawyer is the chosen executor of my will
Who do you want to serve as the executor of your will?,It is Rockey Belboy my lawyer who I want to serve as the executor of my will
Who do you want to serve as the executor of your will?,The person I trust to be the executor of my will is my lawyer Rockey Belboy
Who do you want to serve as the executor of your will?,The executor of my will as per my choice is my lawyer Jane Smith
List all your assets such as real estate bank accounts investments and personal property?,My assets include a house two bank accounts and some investments
List all your assets such as real estate bank accounts investments and personal property?,I own a house two bank accounts and various investments as part of my assets
List all your assets such as real estate bank accounts investments and personal property?,The assets that I possess are a house two bank accounts and several investments
List all your assets such as real estate bank accounts investments and personal property?,Among my possessions are a house two bank accounts and several investments
List all your assets such as real estate bank accounts investments and personal property?,My personal property includes a house two bank accounts and several investments
Specify how you want your assets distributed among beneficiaries?,I want my assets to be equally distributed among my children
Specify how you want your assets distributed among beneficiaries?,Equally dividing my assets among my children is my preference
Specify how you want your assets distributed among beneficiaries?,I wish for my children to receive an equal share of my assets
Specify how you want your assets distributed among beneficiaries?,The distribution of my assets among my children should be equal
Specify how you want your assets distributed among beneficiaries?,An equal distribution of my assets among my children is what I desire
Clarify if you have specific bequests such as sentimental items or charitable donations?,I have a specific bequest for my vintage car to be given to my son I also want to donate a portion of my estate to charity
Clarify if you have specific bequests such as sentimental items or charitable donations?,My will includes a specific bequest of my vintage car to my son along with a donation to charity from a portion of my estate
Clarify if you have specific bequests such as sentimental items or charitable donations?,To my son I leave my vintage car as a specific bequest in my will Additionally I intend to donate a portion of my estate to charity
Clarify if you have specific bequests such as sentimental items or charitable donations?,In my will I have specified a bequest for my vintage car to be given to my son Furthermore I plan to donate a part of my estate to charity
Clarify if you have specific bequests such as sentimental items or charitable donations?,I intend to leave my vintage car to my son as a specific bequest in my will Additionally I want to donate a portion of my estate to charity
Outline your preferences for your funeral or memorial service?,I prefer a simple funeral service with close family and friends
Outline your preferences for your funeral or memorial service?,For my funeral or memorial service I desire a simple gathering with close family and friends
Outline your preferences for your funeral or memorial service?,A simple ceremony with close family and friends is my choice for my funeral or memorial service
Outline your preferences for your funeral or memorial service?,I want my funeral or memorial service to be a simple event with only close family and friends in attendance
Outline your preferences for your funeral or memorial service?,My preference for my funeral or memorial service is to keep it simple with only close family and friends present
